name,address,suburb,category,seating_type,seats,latitude,longitude,census_year
Gourmet Curry Hut,"Shop 3-4, 318-322 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,28,-37.81488174,144.964012048,2024
Gordons Cafe And Bar,"Shop 4, 306 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,8,-37.81473293,144.964348552,2024
Coffee Logic,Part Ground 575 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,24,-37.81651426,144.956668779,2024
Doju,"Shop 9, Ground 530 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,46,-37.81686865,144.957088016,2024
Chancery Lane,Suite 3 & 5-7 Ground 430 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,300,-37.81596878,144.960110059,2024
Le Shoppe,"Suite 8, Ground 430 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,15,-37.81596878,144.960110059,2024
Cq Bar,Part Level 1 113 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,100,-37.81581152,144.960636631,2024
Cq Bar,Part Level 1 113 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,40,-37.81581152,144.960636631,2024
Roti Bar,416-418 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,68,-37.81581152,144.960636631,2024
The Turf Accountants,"Unit 1, LwrGround 131 Queen Street MELBOURNE VIC 3000",Melbourne (CBD),"Pubs, Taverns and Bars",indoor,60,-37.81549904,144.960540869,2024
Axil Coffee Roasters,Shop B01A 385 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,65,-37.81491502,144.962944195,2024
Nosh,352 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81491502,144.962944195,2024
Brothers & Co,"Shop 8, 364 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.81510975,144.962207824,2024
Hopetoun Bakehouse,Basement 20-22 McKillop Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,20,-37.81514598,144.961818541,2024
Cafe Chokolait,"Shop 8-9, 318-322 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,20,-37.81488174,144.964012048,2024
Cafe Chokolait,"Shop 8-9, 318-322 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,18,-37.81488174,144.964012048,2024
Bistrot D'Orsay,184 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.81485585,144.967277747,2024
The George On Collins,"Shop B1, Basement 162 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),"Pubs, Taverns and Bars",indoor,150,-37.81450301,144.967847532,2024
Morena,85 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,46,-37.81360963,144.970722603,2024
Barra,89 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,36,-37.81360963,144.970722603,2024
Bowls Baby,97 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,20,-37.81360963,144.970722603,2024
Farmer'S Daughters,95 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,68,-37.81360963,144.970722603,2024
Maverick Coffee And Food,95 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,18,-37.81360963,144.970722603,2024
Market Lane Coffee,Part Ground 8 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,10,-37.81314231,144.973257507,2024
The Lyceum Club,2-18 Ridgway Place MELBOURNE VIC 3000,Melbourne (CBD),Clubs (Hospitality),indoor,85,-37.81314962,144.972595191,2024
Coffee Exchange,9-11 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,20,-37.81260038,144.973183613,2024
Coffee Exchange,9-11 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81260038,144.973183613,2024
Cafe Excello,Ground 1-3 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,28,-37.81260038,144.973183613,2024
Cafe Excello,Ground 1-3 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81260038,144.973183613,2024
Saravanaa Bhavan Melbourne,Ground 1 131 King Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,96,-37.81708323,144.955503913,2024
Zuppa,510 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,12,-37.81636534,144.957813206,2024
Brioche By Philip,500 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,25,-37.81636534,144.957813206,2024
Code Black,"Shop 8A, 360 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81615528,144.962184393,2024
Disciples Of Epicurus,16 Equitable Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,22,-37.81592157,144.963497878,2024
Disciples Of Epicurus,16 Equitable Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,44,-37.81592157,144.963497878,2024
Betty'S Burgers,97 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,88,-37.81592157,144.963497878,2024
Momo Central,347 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,6,-37.81554941,144.963293794,2024
The Workers Foodroom,349 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,8,-37.81554941,144.963293794,2024
Quando Quando Cucina & Bar,10 Collins Way MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,6,-37.81585501,144.962439132,2024
11 Inch Pizza,"Shop 6B, 353 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,22,-37.81570426,144.962984348,2024
Dodee Paidang Thai Bar And Cafe,Basement 2A 25 Equitable Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,80,-37.81570426,144.962984348,2024
Ilza,"Shop 5B, 353 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,8,-37.81570426,144.962984348,2024
Vespa Rossa,30-32 Block Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,88,-37.81529155,144.964466115,2024
Le Petit Chateau,"Shop 9-10, Block Arcade MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,24,-37.81561893,144.964428319,2024
The Charles Dickens Tavern,Part Basement 290 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,225,-37.81561893,144.964428319,2024
Casa Frida,29 Block Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,52,-37.81528948,144.964225403,2024
Momo Station,"Shop 12, 115 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,18,-37.81507697,144.965777332,2024
Momo Station,"Shop 12, 115 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,34,-37.81507697,144.965777332,2024
The Bottom End,577-583 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,70,-37.81782672,144.955605948,2024
Kantina Kartel,"Shop 6, 500 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,70,-37.81753383,144.957473189,2024
At The George,"Shop 5, Ground 470 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,12,-37.81753764,144.958333858,2024
Saving Grace,30 Church Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,30,-37.81719649,144.957798923,2024
Saving Grace,30 Church Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.81719649,144.957798923,2024
Curry Vault,18 Bank Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.81642893,144.960522489,2024
