service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
c0f98a36-a382-69a0-bb19-72afdc83c958,CLOSED,Epworth Freemasons,08:00:00 - 17:00:00,08:00:00 - 17:00:00,08:00:00 - 17:00:00,08:00:00 - 17:00:00,08:00:00 - 17:00:00,109 Albert Street,East Melbourne,VIC,3002,-37.810646,144.98409,,EPWORTH FOUNDATION,
41f67eec-bbac-57e2-f0f3-99d7ed0c0ee8,CLOSED,Breakthrough Psychology,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 2,710 Collins Street",Docklands,VIC,3008,-37.81991959,144.95054626,,,
9ceb7f75-185f-4478-a167-831eec08ab7f,CLOSED,The Obsessive Compulsive Spectrum Clinic,10:00:00 - 20:00:00,10:00:00 - 20:00:00,,,,99 ELGIN STREET,Carlton,VIC,3053,-37.79788134,144.97132525,,,
6478c2e7-9d9a-4785-97e8-52f1e3e58869,CLOSED,Victoria Harbour Pharmacy,10:00:00 - 14:00:00,,10:00:00 - 14:00:00,,,66 Merchant St,Docklands,VIC,3008,-37.820265,144.944152,,,
10c3fdcd-9291-46b3-ca70-eba0c093b102,CLOSED,Victoria Harbour Pharmacy,10:00:00 - 14:00:00,,10:00:00 - 14:00:00,,,66 Merchant St,Docklands,VIC,3008,-37.820265,144.944152,,,
1378a9e4-069c-d346-e503-d35bf91658ac,CLOSED,Lygon Court Medical Clinic,09:30:00 - 18:00:00,09:30:00 - 18:00:00,09:30:00 - 18:00:00,09:30:00 - 18:00:00,09:30:00 - 18:00:00,"LYGON COURT,Level 1 Suite 3,380 Lygon Street",Carlton,VIC,3053,-37.79806137,144.96818542,,,
73f847d1-c7e7-c7e7-c36b-db5a5bd5cf55,CLOSED,MFI Radiology,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,20 Collins Street,Melbourne,VIC,3000,-37.81332779,144.97293091,,,
653f2555-4203-423f-a147-91a661281457,UNKNOWN,Melbourne City Medical Centre,,,,,,68 Lonsdale Street,Melbourne,VIC,3000,-37.8093071,144.970047,,,
df7e1728-cf41-8e4a-e69a-b2b369737231,CLOSED,Refugee Health Assessment Clinic,,09:00:00 - 13:00:00,,,,"Royal Melbourne,Floor 9,Grattan Street",Parkville,VIC,3052,-37.7999382,144.95959473,,,
d940de33-98a9-2081-6997-ee3b9f5c85da,CLOSED,Creating Ripples,,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,,203 PEEL STREET,North Melbourne,VIC,3051,-37.8027776,144.95618506,,,
b5b99794-2b18-cca2-3c7e-a22b33f2940e,CLOSED,Dr Benjamin Wei - ENT Surgeon,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Suite 25,141 Grey Street",East Melbourne,VIC,3002,-37.81272125,144.98431396,,,
7bd7dec9-4fd6-23a0-78b5-e24c453fff59,CLOSED,Dr Richard Jasek,08:00:00 - 17:00:00,,08:00:00 - 17:00:00,,,30 Jolimont Terrace,East Melbourne,VIC,3002,-37.81799698,144.98147583,,,
71b120a7-cfee-3db2-c99f-8210d7c97c28,CLOSED,Melbourne Private Hospital,07:00:00 - 21:00:00,07:00:00 - 21:00:00,07:00:00 - 21:00:00,07:00:00 - 21:00:00,07:00:00 - 21:00:00,Royal Parade,Parkville,VIC,3052,-37.78887177,144.95869446,08:00:00 - 20:00:00,,08:00:00 - 20:00:00
