service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
41f67eec-bbac-57e2-f0f3-99d7ed0c0ee8,CLOSED,Breakthrough Psychology,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 2,710 Collins Street",Docklands,VIC,3008,-37.81991959,144.95054626,,,
a62531a5-73ed-e9a7-ccc2-aa13f12368aa,CLOSED,Positive Solutions Psychological Services,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,"Level 31,120 Collins Street",Melbourne,VIC,3000,-37.8166275,144.96382141,,,
04a8dd25-dc4e-deac-7b81-2080087d95d2,CLOSED,PsyAx - Neuropsychologists,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,"Level 27,101 Collins Street",Melbourne,VIC,3000,-37.81521988,144.97091675,,,
681f93c0-8ab0-4a69-1b1b-3cd95ceffb91,CLOSED,Victorian Counselling & Psychological Services - QV,08:00:00 - 19:45:00,08:00:00 - 19:45:00,08:00:00 - 19:45:00,08:00:00 - 19:45:00,08:00:00 - 18:00:00,62 WELLINGTON PARADE,East Melbourne,VIC,3002,-37.81638611,144.9882528,09:00:00 - 15:00:00,THE TRUSTEE FOR THE VCPS TRUST,
288cc080-ee99-c325-3690-9a836878a0d8,CLOSED,Victorian Counselling & Psychological Services - East Melbourne,08:00:00 - 19:00:00,08:00:00 - 19:00:00,08:00:00 - 19:00:00,08:00:00 - 19:00:00,08:00:00 - 19:00:00,"Eastbourne House,62 Wellington Parade",East Melbourne,VIC,3002,-37.81641769,144.98822021,,THE TRUSTEE FOR THE VCPS TRUST,
5b08ca32-1c16-4d60-a61f-492a6b0ea10f,CLOSED,Cova Psychology,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,"Suite 19 Level 1,12 COLLINS STREET",Melbourne,VIC,3000,-37.81316771,144.9730892,,,
0b5b4c51-4275-2b03-a139-7dc046fc0e5a,CLOSED,Carfi Psychological and Rehabilitation Services,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,"The Clocktower Centre,Level 2 Suite 58,255 Drummond Street",Carlton,VIC,3053,-37.79985428,144.96792603,,,
f48fffea-1e28-199f-1e63-6de3c5cb055b,CLOSED,Shine Psychology,09:00:00 - 17:00:00,09:00:00 - 16:00:00,,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Tiara Tower ,Level 2,2706/50 Haig Street",Southbank,VIC,3006,-37.826838,144.956838,,,
302556f0-4baa-5739-84b1-7f11059b99f5,CLOSED,Jeffrey Cummins - Psychologist,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 1,550 Lonsdale Street",Melbourne,VIC,3000,-37.81320572,144.95581055,,,
9645229f-13c0-8f69-7e11-24fed027718a,UNKNOWN,Inner Melbourne Clinical Psychology - Kensington,,,,,,29 Lambeth Street,Kensington,VIC,3031,-37.789864,144.934482,,"BAULCH, JACQUELINE LEE",
