service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours,phone,website,google_rating,google_maps_url,appointment_note
41f67eec-bbac-57e2-f0f3-99d7ed0c0ee8,CLOSED,Breakthrough Psychology,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 2,710 Collins Street",Docklands,VIC,3008,-37.81991959,144.95054626,08:00 - 12:00,,,(03) 9088 3228,http://www.docklandshealth.com.au/psychology,5,https://maps.google.com/?cid=14804158802390644868,Call or visit website to book
a62531a5-73ed-e9a7-ccc2-aa13f12368aa,CLOSED,Positive Solutions Psychological Services,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,"Level 31,120 Collins Street",Melbourne,VIC,3000,-37.8166275,144.96382141,,,,(03) 9225 5150,http://www.positiveso.com.au/,5,https://maps.google.com/?cid=9459876351373281493,Call or visit website to book
04a8dd25-dc4e-deac-7b81-2080087d95d2,CLOSED,PsyAx - Neuropsychologists,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,"Level 27,101 Collins Street",Melbourne,VIC,3000,-37.81521988,144.97091675,08:30 - 12:30,,,1300 455 677,https://www.psyax.com.au/,3.7,https://maps.google.com/?cid=1340629325068357368,Call or visit website to book
681f93c0-8ab0-4a69-1b1b-3cd95ceffb91,CLOSED,Victorian Counselling & Psychological Services - QV,08:00:00 - 19:45:00,08:00:00 - 19:45:00,08:00:00 - 19:45:00,08:00:00 - 19:45:00,08:00:00 - 18:00:00,62 WELLINGTON PARADE,East Melbourne,VIC,3002,-37.81638611,144.9882528,09:00:00 - 15:00:00,THE TRUSTEE FOR THE VCPS TRUST,,(03) 9419 7172,http://www.vcps.com.au/,4.1,https://maps.google.com/?cid=17715019604409463054,Call or visit website to book
288cc080-ee99-c325-3690-9a836878a0d8,CLOSED,Victorian Counselling & Psychological Services - East Melbourne,08:00:00 - 19:00:00,08:00:00 - 19:00:00,08:00:00 - 19:00:00,08:00:00 - 19:00:00,08:00:00 - 19:00:00,"Eastbourne House,62 Wellington Parade",East Melbourne,VIC,3002,-37.81641769,144.98822021,09:00 - 15:00,THE TRUSTEE FOR THE VCPS TRUST,,(03) 9419 7172,http://www.vcps.com.au/,4.1,https://maps.google.com/?cid=17715019604409463054,Call or visit website to book
5b08ca32-1c16-4d60-a61f-492a6b0ea10f,CLOSED,Cova Psychology,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,"Suite 19 Level 1,12 COLLINS STREET",Melbourne,VIC,3000,-37.81316771,144.9730892,09:00 - 17:00,,,(03) 9654 3557,https://covapsychology.com/,4.8,https://maps.google.com/?cid=7312359987872657520,Call or visit website to book
0b5b4c51-4275-2b03-a139-7dc046fc0e5a,CLOSED,Carfi Psychological and Rehabilitation Services,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,"The Clocktower Centre,Level 2 Suite 58,255 Drummond Street",Carlton,VIC,3053,-37.79985428,144.96792603,,,,(03) 9112 4299,https://www.carfi.net.au/,2.9,https://maps.google.com/?cid=11549445103449135009,Call or visit website to book
f48fffea-1e28-199f-1e63-6de3c5cb055b,CLOSED,Shine Psychology,09:00:00 - 17:00:00,09:00:00 - 16:00:00,07:00 - 17:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Tiara Tower ,Level 2,2706/50 Haig Street",Southbank,VIC,3006,-37.826838,144.956838,09:00 - 18:00,,,1300 754 397,https://www.shinepsychology.com.au/,,https://maps.google.com/?cid=12758717868513418394,Call or visit website to book
302556f0-4baa-5739-84b1-7f11059b99f5,CLOSED,Jeffrey Cummins - Psychologist,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 1,550 Lonsdale Street",Melbourne,VIC,3000,-37.81320572,144.95581055,,,,(03) 9670 1560,,5,https://maps.google.com/?cid=480117734287173485,
9645229f-13c0-8f69-7e11-24fed027718a,UNKNOWN,Inner Melbourne Clinical Psychology - Kensington,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,29 Lambeth Street,Kensington,VIC,3031,-37.789864,144.934482,08:00 - 15:00,"BAULCH, JACQUELINE LEE",,(03) 9376 1958,https://www.innermelbpsychology.com.au/,4.7,https://maps.google.com/?cid=3250877962191881087,Call or visit website to book
0370522b-e2f5-0dba-3ce2-d684a860a7b7,CLOSED,Mindview Psychology,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 21:00:00,10:00:00 - 15:00:00,"Level 4, Suite 48,12 Collins Street",Melbourne,VIC,3000,-37.81319361,144.97314402,08:00:00 - 14:00:00,,,(03) 9052 4365,http://www.mindviewpsychology.com.au/,3.6,https://maps.google.com/?cid=14378120477346217607,Call or visit website to book
92e1376a-7b64-1002-fda8-570ab634ea1b,CLOSED,Reflective Counselling & Psychology,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,"The Melbourne Counselling & Psychology Centre,Level 3,178 Collins Street",Melbourne,VIC,3000,-37.81495285,144.96760559,08:00:00 - 14:00:00,,,(03) 9809 4888,https://www.reflectionpsychology.com.au/contact/camberwell,4.6,https://maps.google.com/?cid=17756951707804174438,Call or visit website to book
13c0b8d6-0137-dbec-71f0-d82815de4d05,CLOSED,Central Melbourne Psychology,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 40,140 William Street",Melbourne,VIC,3000,-37.81595612,144.95874023,,,,(03) 9607 8577,,5,https://maps.google.com/?cid=13083781540577979112,
9624254f-a7cb-bf48-fbc2-edd38a96d244,CLOSED,Shaw Psychology - Melbourne CBD,10:30:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 17:00:00,09:00 - 19:00,09:00 - 18:30,"Suite 502,365 Little Collins Street",Melbourne,VIC,3000,-37.81574684,144.96278695,09:00:00 - 12:30:00,"SHAW, DANIEL",,(03) 9969 2190,http://www.shawpsychology.com/,4.7,https://maps.google.com/?cid=15029983258591038041,Call or visit website to book
25f480c7-3c64-b115-3e91-be67d10a66b3,CLOSED,Dr Matthew Hughes - Clinical Neuropsychology - CBD,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 10,440 Collins Street",Melbourne,VIC,3000,-37.81702805,144.95977783,,,,(03) 9500 8366,http://neurologynetwork.com.au/,4.1,https://maps.google.com/?cid=1919062667912574996,Call or visit website to book
13771165-a068-7871-98e3-c06ffde72838,CLOSED,People Psychology - Melbourne,08:00:00 - 21:00:00,08:00:00 - 21:00:00,08:00:00 - 21:00:00,08:00:00 - 21:00:00,08:00:00 - 21:00:00,"Level 32,367 COLLINS STREET",Melbourne,VIC,3000,-37.81728274,144.96243751,09:00:00 - 18:00:00,PEOPLE PSYCHOLOGY PTY LTD,,(03) 9133 0996,https://peoplepsychology.com.au/,3.9,https://maps.google.com/?cid=14543751714457097958,Call or visit website to book
eed9a4f3-2897-7799-4588-df5c1e7c01af,CLOSED,Counselling in Melbourne,10:00:00 - 20:00:00,10:00:00 - 20:00:00,10:00:00 - 20:00:00,10:00:00 - 20:00:00,11:00 - 16:00,"Exchange Tower,Floor 9 Suite 903,530 Little Collins Street",Melbourne,VIC,3000,-37.81687546,144.95709229,11:00 - 16:00,,,0467 477 786,https://www.themelbournecounsellor.com.au/,5,https://maps.google.com/?cid=8646383948742773639,Call or visit website to book
75e2995d-e20b-d726-eb68-1007e44a5830,CLOSED,The Three Seas Psychology Group Melbourne,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 17:00:00,"Level 11,118 Queen Street",Melbourne,VIC,3000,-37.81565094,144.96130371,08:30:00 - 16:30:00,Salus Pty Ltd,,(03) 9809 1000,https://thethreeseas.com.au/,3.7,https://maps.google.com/?cid=15738097253267732824,Call or visit website to book
ef0b865c-89aa-9a7c-1f0e-7ac4d4521d22,CLOSED,Psylegal Psychology - Melbourne,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 17:00:00,"Level 2,488 Bourke Street",Melbourne,VIC,3000,-37.81501007,144.95921326,,,,1300 792 209,https://psylegal.com.au/?utm_source=GMB+&utm_medium=GMB&utm_campaign=GMB+Tracking,5,https://maps.google.com/?cid=7124200364913612424,Call or visit website to book
85bfaf4a-b408-a5e5-3131-1162c70a33cc,CLOSED,MVS Psychology Group - Melbourne,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,"Level 7 Suite 1,350 COLLINS STREET",Melbourne,VIC,3000,-37.81601818,144.96268924,08:00 - 21:00,,08:00 - 21:00,(03) 7036 8795,https://www.mvspsychology.com.au/,4.9,https://maps.google.com/?cid=18370846645967278231,Call or visit website to book
b3b124a8-9998-e3d7-65eb-f92c4f07399d,CLOSED,The Salvation Army - Melbourne Counselling Service,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 18:00:00,09:00:00 - 16:00:00,"Level 2,69 Bourke Street",Melbourne,VIC,3000,-37.81250763,144.97163391,,The Trustee for THE SALVATION ARMY VICTORIA PROPERTY TRUST,,,https://salvationarmy.org.au/melbourne614,4.4,https://maps.google.com/?cid=1127460086942192127,Call or visit website to book
3d535121-10c6-5502-c739-2d530de96cff,UNKNOWN,Optimise Psychology,,,,,,"Level 9,85 Queen Street",Melbourne,VIC,3000,-37.8164978,144.96101379,,,,0419 250 181,http://www.optimisepsychology.com.au/services/,5,https://maps.google.com/?cid=10953685305219118852,Call or visit website to book
5c38349e-57e1-b4f9-81b2-efc990bbe936,CLOSED,Dr Annie Cantwell-Bartl - Psychologist,08:00:00 - 20:30:00,08:00:00 - 20:30:00,08:00:00 - 20:30:00,08:00:00 - 20:30:00,08:00:00 - 20:30:00,24 Market Street,Kensington,VIC,3031,-37.78949356,144.92709351,,,,0419 875 570,https://www.anniecb.com/,5,https://maps.google.com/?cid=9886101506863482735,Call or visit website to book
72d31f81-3256-17de-110b-f9cbfed946de,CLOSED,Simon Parker Psychologist,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,,88 Rathdowne Street,Carlton,VIC,3053,-37.79790115,144.97070312,,,,,,,https://maps.google.com/?cid=11244457905672574090,
