sensor_name,hour,latitude,longitude,avg_pedestrians
261Will_T,0,-37.81295822,144.95678789,62.7
261Will_T,1,-37.81295822,144.95678789,34.0
261Will_T,2,-37.81295822,144.95678789,23.0
261Will_T,3,-37.81295822,144.95678789,17.1
261Will_T,4,-37.81295822,144.95678789,14.5
261Will_T,5,-37.81295822,144.95678789,58.0
261Will_T,6,-37.81295822,144.95678789,169.2
261Will_T,7,-37.81295822,144.95678789,508.6
261Will_T,8,-37.81295822,144.95678789,1525.3
261Will_T,9,-37.81295822,144.95678789,839.8
261Will_T,10,-37.81295822,144.95678789,475.3
261Will_T,11,-37.81295822,144.95678789,436.8
261Will_T,12,-37.81295822,144.95678789,617.7
261Will_T,13,-37.81295822,144.95678789,732.4
261Will_T,14,-37.81295822,144.95678789,488.2
261Will_T,15,-37.81295822,144.95678789,489.9
261Will_T,16,-37.81295822,144.95678789,750.2
261Will_T,17,-37.81295822,144.95678789,1063.4
261Will_T,18,-37.81295822,144.95678789,491.9
261Will_T,19,-37.81295822,144.95678789,305.2
261Will_T,20,-37.81295822,144.95678789,232.8
261Will_T,21,-37.81295822,144.95678789,209.0
261Will_T,22,-37.81295822,144.95678789,166.4
261Will_T,23,-37.81295822,144.95678789,113.2
280Will_T,0,-37.81246271,144.95690188,40.0
280Will_T,1,-37.81246271,144.95690188,23.1
280Will_T,2,-37.81246271,144.95690188,14.2
280Will_T,3,-37.81246271,144.95690188,9.3
280Will_T,4,-37.81246271,144.95690188,7.2
280Will_T,5,-37.81246271,144.95690188,13.8
280Will_T,6,-37.81246271,144.95690188,35.0
280Will_T,7,-37.81246271,144.95690188,95.4
280Will_T,8,-37.81246271,144.95690188,228.6
280Will_T,9,-37.81246271,144.95690188,219.2
280Will_T,10,-37.81246271,144.95690188,208.7
280Will_T,11,-37.81246271,144.95690188,226.5
280Will_T,12,-37.81246271,144.95690188,304.5
280Will_T,13,-37.81246271,144.95690188,362.6
280Will_T,14,-37.81246271,144.95690188,257.7
280Will_T,15,-37.81246271,144.95690188,229.0
280Will_T,16,-37.81246271,144.95690188,253.7
280Will_T,17,-37.81246271,144.95690188,312.5
280Will_T,18,-37.81246271,144.95690188,239.3
280Will_T,19,-37.81246271,144.95690188,190.1
280Will_T,20,-37.81246271,144.95690188,162.0
280Will_T,21,-37.81246271,144.95690188,132.8
280Will_T,22,-37.81246271,144.95690188,103.7
280Will_T,23,-37.81246271,144.95690188,69.0
474Fl_T,0,-37.81997273,144.95834911,88.3
474Fl_T,1,-37.81997273,144.95834911,58.7
474Fl_T,2,-37.81997273,144.95834911,43.7
474Fl_T,3,-37.81997273,144.95834911,33.1
474Fl_T,4,-37.81997273,144.95834911,25.4
474Fl_T,5,-37.81997273,144.95834911,27.9
474Fl_T,6,-37.81997273,144.95834911,45.2
474Fl_T,7,-37.81997273,144.95834911,86.3
474Fl_T,8,-37.81997273,144.95834911,186.8
474Fl_T,9,-37.81997273,144.95834911,209.9
474Fl_T,10,-37.81997273,144.95834911,244.5
474Fl_T,11,-37.81997273,144.95834911,263.5
474Fl_T,12,-37.81997273,144.95834911,344.4
474Fl_T,13,-37.81997273,144.95834911,346.7
474Fl_T,14,-37.81997273,144.95834911,299.0
474Fl_T,15,-37.81997273,144.95834911,285.5
474Fl_T,16,-37.81997273,144.95834911,293.8
474Fl_T,17,-37.81997273,144.95834911,318.8
474Fl_T,18,-37.81997273,144.95834911,266.3
474Fl_T,19,-37.81997273,144.95834911,222.2
474Fl_T,20,-37.81997273,144.95834911,207.8
474Fl_T,21,-37.81997273,144.95834911,197.2
474Fl_T,22,-37.81997273,144.95834911,189.1
474Fl_T,23,-37.81997273,144.95834911,163.2
488Mac_T,0,-37.79432415,144.92973378,5.4
488Mac_T,1,-37.79432415,144.92973378,2.9
488Mac_T,2,-37.79432415,144.92973378,2.1
488Mac_T,3,-37.79432415,144.92973378,1.6
488Mac_T,4,-37.79432415,144.92973378,1.8
488Mac_T,5,-37.79432415,144.92973378,6.0
488Mac_T,6,-37.79432415,144.92973378,27.6
488Mac_T,7,-37.79432415,144.92973378,69.5
488Mac_T,8,-37.79432415,144.92973378,145.1
488Mac_T,9,-37.79432415,144.92973378,142.1
488Mac_T,10,-37.79432415,144.92973378,151.5
488Mac_T,11,-37.79432415,144.92973378,173.3
488Mac_T,12,-37.79432415,144.92973378,205.1
488Mac_T,13,-37.79432415,144.92973378,165.6
488Mac_T,14,-37.79432415,144.92973378,135.7
488Mac_T,15,-37.79432415,144.92973378,170.6
488Mac_T,16,-37.79432415,144.92973378,147.6
488Mac_T,17,-37.79432415,144.92973378,170.8
488Mac_T,18,-37.79432415,144.92973378,147.0
488Mac_T,19,-37.79432415,144.92973378,98.1
488Mac_T,20,-37.79432415,144.92973378,56.6
488Mac_T,21,-37.79432415,144.92973378,29.8
488Mac_T,22,-37.79432415,144.92973378,20.3
488Mac_T,23,-37.79432415,144.92973378,12.3
574Qub_T,0,-37.80309992,144.94908064,4.2
574Qub_T,1,-37.80309992,144.94908064,2.9
574Qub_T,2,-37.80309992,144.94908064,2.1
574Qub_T,3,-37.80309992,144.94908064,1.8
574Qub_T,4,-37.80309992,144.94908064,1.8
574Qub_T,5,-37.80309992,144.94908064,3.0
574Qub_T,6,-37.80309992,144.94908064,12.2
574Qub_T,7,-37.80309992,144.94908064,32.3
574Qub_T,8,-37.80309992,144.94908064,65.8
574Qub_T,9,-37.80309992,144.94908064,76.7
574Qub_T,10,-37.80309992,144.94908064,87.5
574Qub_T,11,-37.80309992,144.94908064,102.0
574Qub_T,12,-37.80309992,144.94908064,140.9
574Qub_T,13,-37.80309992,144.94908064,128.4
574Qub_T,14,-37.80309992,144.94908064,101.9
574Qub_T,15,-37.80309992,144.94908064,100.2
574Qub_T,16,-37.80309992,144.94908064,93.4
574Qub_T,17,-37.80309992,144.94908064,103.0
574Qub_T,18,-37.80309992,144.94908064,103.6
574Qub_T,19,-37.80309992,144.94908064,86.9
574Qub_T,20,-37.80309992,144.94908064,67.6
574Qub_T,21,-37.80309992,144.94908064,40.8
574Qub_T,22,-37.80309992,144.94908064,22.4
574Qub_T,23,-37.80309992,144.94908064,10.4
ACMI_T,0,-37.81726338,144.96872809,61.7
ACMI_T,1,-37.81726338,144.96872809,27.2
ACMI_T,2,-37.81726338,144.96872809,13.7
ACMI_T,3,-37.81726338,144.96872809,8.9
ACMI_T,4,-37.81726338,144.96872809,8.3
ACMI_T,5,-37.81726338,144.96872809,24.5
ACMI_T,6,-37.81726338,144.96872809,76.9
ACMI_T,7,-37.81726338,144.96872809,177.1
ACMI_T,8,-37.81726338,144.96872809,531.4
ACMI_T,9,-37.81726338,144.96872809,359.9
ACMI_T,10,-37.81726338,144.96872809,345.7
ACMI_T,11,-37.81726338,144.96872809,429.3
ACMI_T,12,-37.81726338,144.96872809,538.0
ACMI_T,13,-37.81726338,144.96872809,542.5
ACMI_T,14,-37.81726338,144.96872809,555.8
ACMI_T,15,-37.81726338,144.96872809,547.2
ACMI_T,16,-37.81726338,144.96872809,707.2
ACMI_T,17,-37.81726338,144.96872809,916.1
ACMI_T,18,-37.81726338,144.96872809,594.2
ACMI_T,19,-37.81726338,144.96872809,403.1
ACMI_T,20,-37.81726338,144.96872809,312.5
ACMI_T,21,-37.81726338,144.96872809,263.2
ACMI_T,22,-37.81726338,144.96872809,305.5
ACMI_T,23,-37.81726338,144.96872809,184.6
AG_T,0,-37.8199817,144.96872865,50.9
AG_T,1,-37.8199817,144.96872865,31.3
AG_T,2,-37.8199817,144.96872865,19.3
AG_T,3,-37.8199817,144.96872865,11.4
AG_T,4,-37.8199817,144.96872865,10.7
AG_T,5,-37.8199817,144.96872865,36.3
AG_T,6,-37.8199817,144.96872865,108.4
AG_T,7,-37.8199817,144.96872865,224.5
AG_T,8,-37.8199817,144.96872865,320.8
AG_T,9,-37.8199817,144.96872865,322.1
AG_T,10,-37.8199817,144.96872865,425.8
AG_T,11,-37.8199817,144.96872865,555.9
AG_T,12,-37.8199817,144.96872865,691.3
AG_T,13,-37.8199817,144.96872865,745.7
AG_T,14,-37.8199817,144.96872865,720.8
AG_T,15,-37.8199817,144.96872865,722.1
AG_T,16,-37.8199817,144.96872865,702.3
AG_T,17,-37.8199817,144.96872865,765.8
AG_T,18,-37.8199817,144.96872865,710.1
AG_T,19,-37.8199817,144.96872865,585.8
AG_T,20,-37.8199817,144.96872865,456.0
AG_T,21,-37.8199817,144.96872865,378.0
AG_T,22,-37.8199817,144.96872865,355.5
AG_T,23,-37.8199817,144.96872865,210.9
AlfPl_T,0,-37.81379749,144.96995745,8.8
AlfPl_T,1,-37.81379749,144.96995745,5.6
AlfPl_T,2,-37.81379749,144.96995745,4.2
AlfPl_T,3,-37.81379749,144.96995745,3.6
AlfPl_T,4,-37.81379749,144.96995745,3.2
AlfPl_T,5,-37.81379749,144.96995745,7.3
AlfPl_T,6,-37.81379749,144.96995745,21.6
AlfPl_T,7,-37.81379749,144.96995745,62.7
AlfPl_T,8,-37.81379749,144.96995745,160.3
AlfPl_T,9,-37.81379749,144.96995745,172.7
AlfPl_T,10,-37.81379749,144.96995745,156.4
AlfPl_T,11,-37.81379749,144.96995745,157.6
AlfPl_T,12,-37.81379749,144.96995745,328.5
AlfPl_T,13,-37.81379749,144.96995745,271.1
AlfPl_T,14,-37.81379749,144.96995745,171.8
AlfPl_T,15,-37.81379749,144.96995745,145.3
AlfPl_T,16,-37.81379749,144.96995745,143.7
AlfPl_T,17,-37.81379749,144.96995745,172.3
AlfPl_T,18,-37.81379749,144.96995745,119.1
AlfPl_T,19,-37.81379749,144.96995745,68.3
AlfPl_T,20,-37.81379749,144.96995745,38.0
AlfPl_T,21,-37.81379749,144.96995745,32.3
AlfPl_T,22,-37.81379749,144.96995745,26.1
AlfPl_T,23,-37.81379749,144.96995745,18.1
BirArt1109_T,0,-37.81851276,144.97131336,40.9
BirArt1109_T,1,-37.81851276,144.97131336,19.5
BirArt1109_T,2,-37.81851276,144.97131336,9.6
BirArt1109_T,3,-37.81851276,144.97131336,4.0
BirArt1109_T,4,-37.81851276,144.97131336,3.8
