sensor_name,latitude,longitude,avg_daily_pedestrians
261Will_T,-37.81295822,144.95678789,409.5
280Will_T,-37.81246271,144.95690188,156.1
474Fl_T,-37.81997273,144.95834911,211.0
488Mac_T,-37.79432415,144.92973378,95.0
574Qub_T,-37.80309992,144.94908064,62.5
ACMI_T,-37.81726338,144.96872809,331.9
AG_T,-37.8199817,144.96872865,383.7
AlfPl_T,-37.81379749,144.96995745,104.0
BirArt1109_T,-37.81851276,144.97131336,303.8
BirBridge_T,-37.81757416,144.97329934,8.8
BirBridge_T,-37.81753741,144.97329734,44.6
BirFed1120_T,-37.8184141,144.97357915,183.2
Bou231_T,-37.81333081,144.96675571,414.9
Bou283_T,-37.81380668,144.96516718,436.1
Bou292_T,-37.81349441,144.96515323,756.5
Bou688_T,-37.81686075,144.95358075,676.0
Bou892T,-37.8204637,144.94126826,58.8
BouHbr2353_T,-37.81894815,144.94612292,60.1
BouHbr_T,-37.81876474,144.94710545,100.5
Bourke155_T,-37.81267313,144.96788288,485.3
Boyd2837_T,-37.82590962,144.96185972,143.7
Col12_T,-37.81344862,144.97305353,231.6
Col15_T,-37.81362543,144.97323591,365.0
Col254_T,-37.81564191,144.965499,565.5
Col620_T,-37.81887963,144.95449198,907.5
Col623_T,-37.81909256,144.95452748,355.5
Col700_T,-37.81982992,144.95102555,533.5
ElFi_T,-37.81798049,144.96503383,1224.7
Eli124_T,-37.81512416,144.96371988,968.8
Eli197_T,-37.81374643,144.96276183,776.7
Eli250_T,-37.81258467,144.9625775,899.7
Eli263_T,-37.81252157,144.9619401,395.4
Eli368_T,-37.81009465,144.96143149,1186.4
Eli489_T,-37.80740397,144.95987909,494.8
Eli501_T,-37.80730068,144.95956055,364.0
EntPark1671_T,-37.81996544,144.95981454,11.4
Errol20_T,-37.80456984,144.94946228,164.1
Errol23_T,-37.80454949,144.94921863,114.3
FLDegC_T,-37.81687226,144.96559144,213.8
FLDegN_T,-37.8168479,144.96559789,281.1
FLDegS_T,-37.81688755,144.96562569,499.0
Fli114C_T,-37.81632783,144.97090512,29.5
Fli114F_T,-37.81629332,144.97090877,233.4
FliSS_T,-37.81794046,144.96616678,545.9
FliS_T,-37.81911705,144.96558255,932.4
Fra118_T,-37.80841815,144.95906316,144.4
Hammer1584_T,-37.81970749,144.96795734,496.2
HarEsB_T,-37.81471642,144.9446508,67.0
HarEsP_T,-37.81441438,144.94433026,199.4
KenMac_T,-37.79453803,144.93036194,66.1
King163_T,-37.81627451,144.95550503,328.7
King2_T,-37.82009057,144.95758725,162.2
King335_T,-37.81267639,144.95386444,178.3
Lat224_T,-37.80996494,144.96216521,296.3
Lat526_T,-37.81304149,144.95155955,55.7
Lat526_T,-37.813005,144.95160411,118.5
LatWill_T,-37.81193681,144.95621105,191.4
Lon189_T,-37.8112185,144.96656806,426.1
Lon364_T,-37.81234775,144.96153311,397.6
LtB170_T,-37.81172914,144.9682466,351.5
LtB210_T,-37.81237202,144.96550671,547.5
Lyg161_T,-37.80169681,144.96658911,249.7
Lyg260_T,-37.80107122,144.96704554,96.2
Lyg309_T,-37.79808192,144.96721013,219.2
MCEC_T,-37.82401776,144.95604426,699.6
Mac330_T,-37.79497059,144.93530329,50.4
NewQ_T,-37.81457988,144.94292398,242.4
Pel147_T,-37.80240719,144.9615673,92.6
Pow61_T,-37.82392385,144.96299677,77.9
PriNW_T,-37.81874249,144.96787656,861.1
QVMQ_T,-37.80631581,144.95866697,324.7
QVN_T,-37.81057846,144.96444294,1200.1
Que85_T,-37.81652527,144.96121062,226.9
RMIT14_T,-37.80767455,144.96309114,613.7
RMIT_T,-37.80825648,144.96304859,724.9
SanBri_T,-37.82011242,144.96291897,304.2
Signal1647_T,-37.81959923,144.9632832,87.3
SouthB_T,-37.82018685,144.96508508,1369.0
Spen161_T,-37.8172861,144.95319102,474.8
Spen201_T,-37.81694221,144.95303935,506.4
Spen229_T,-37.81531435,144.95227769,636.6
Spen475_T,-37.80953359,144.94939004,48.9
Spen484_T,-37.80896733,144.94931703,58.7
Spencer_T,-37.821728,144.95557015,301.8
Spr201_T,-37.80999341,144.97227587,227.3
SprFli_T,-37.81515276,144.97467661,67.9
Swa123_T,-37.81487988,144.9660878,1142.0
Swa148_T,-37.81414075,144.96609379,763.9
Swa295_T,-37.81101524,144.96429485,899.1
Swa31,-37.81668634,144.96689733,1603.8
Swa607_T,-37.804024,144.96308399,185.6
SwaCs_T,-37.81569416,144.9668064,720.2
UM1_T,-37.80008566,144.96386412,207.0
UM2_T,-37.79844526,144.96411782,162.1
UM3_T,-37.79698741,144.96441306,79.6
VAC_T,-37.82129925,144.96879309,699.6
Vic_T,-37.80606888,144.95644692,156.0
WatCit_T,-37.81564989,144.93970694,146.4
WebBN_T,-37.82293543,144.9471751,230.8
WestWP_T,-37.81235775,144.97136962,23.2
