id,name,category,sub_category,address,latitude,longitude,artist,year,description,material
1,South African War Memorial (Memorial to Fallen Soldiers),Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial Sculpture,,-37.8259414540802,144.97185679034,,,,
2,Sir Samuel Gillott,Memorials & Sculptures,Arts & Heritage  - Sculpture - Bust,,-37.8137257364725,144.972615422561,,,,
3,Painted Poles,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8157562938546,144.966810376908,,,,
4,Bird Panels,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.7953526683028,144.940687345967,,,,
5,Passage,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8074524296746,144.958306716284,,,,
6,Silence,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8151070942136,144.94154651686,,,,
7,Captain Matthew Flinders Statue,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8169633057911,144.967487592771,,,,
8,"Three Businessmen Who Brought Their Own Lunch: Batman, Swanston & Hoddle",Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.81368540194,144.965574495439,,,,
9,Waterfall Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Waterfall,,-37.813717094785,144.980140702756,,,,
10,Horse Hitching Post,Memorials & Sculptures,Arts & Heritage  - Sculpture - Hitching Post,,-37.8150299439513,144.974931522269,,,,
11,Scar: A Stolen Vision,Memorials & Sculptures,Arts & Heritage  - Indigenous,,-37.8201016644485,144.959454354553,,,,
12,Stapley Memorial Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.8189109755954,144.973021226526,,,,
13,The Travellers,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8200793788538,144.962960549385,,,,
14,Personal Islands,Memorials & Sculptures,Arts & Heritage  - Sculpture - Pavement inlay,,-37.8129540652895,144.96526492562,,,,
15,Stanford Fountain,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8124342540301,144.973955471734,,,,
16,Wind Contrivance,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8072518916019,144.959230565812,,,,
17,The Phoenix,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8221532497782,144.970950646927,,,,
18,Aurora,Memorials & Sculptures,Arts & Heritage  - Aurora Sculpture - Sculpture in Docklands,,-37.8186938302442,144.946856337589,,,,
19,Lie of the Land,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8037691686334,144.972134256506,,,,
20,Motorcyclist Harold Parsons Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8170400833235,144.98958111418,,,,
21,Edmund Fitzgibbon Memorial,Memorials & Sculptures,Art and Heritage Collection - Memorial,,-37.8236121838048,144.97041853309,,,,
22,Federation Bells,Memorials & Sculptures,Art and Heritage Collection - Federation Bells - Arts Victoria,,-37.8186665820053,144.974100198626,,,,
23,Conservatory Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.8138743287314,144.978595508763,,,,
24,The Echo,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8127056758346,144.965153949957,,,,
25,Koorie Mural,Memorials & Sculptures,Arts & Heritage  - Sculpture - Mural,,-37.8069939381431,144.963053961495,,,,
26,Westgarth Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.8050912969792,144.973417331594,,,,
27,Boer War Monument,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8333920555902,144.972246673222,,,,
28,City Living,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8114750568851,144.953165443927,,,,
29,Constellation,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8202460577394,144.960662531102,,,,
30,Within Three Worlds,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.7788682210743,144.961115185521,,,,
31,Captain Cook,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.814579247299,144.979494359613,,,,
32,Signature Work,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.819243144249,144.947246789008,,,,
33,People's Path,Memorials & Sculptures,Arts & Heritage  - Sculpture - Bricks / Tiles,,-37.8110235138977,144.978389174842,,,,
34,Model Tudor Village,Memorials & Sculptures,Arts & Heritage  - Sculpture - Model,,-37.8132572127115,144.981012344621,,,,
35,Black Swan Memorial Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Memorial Drinking Fountain,,-37.8195705744424,144.971824436445,,,,
36,William Ievers (Jnr) Memorial Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7982578256186,144.97056462845,,,,
37,Beyond the Ocean of Existence,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8164236255068,144.967061521425,,,,
38,Temple of the Winds,Memorials & Sculptures,Arts & Heritage  - Sculpture - Rotunda,,-37.8128096545722,144.981735855762,,,,
39,Boy on a Turtle,Memorials & Sculptures,Arts & Heritage  - Sculpture - Statue,,-37.8143892942827,144.979910185425,,,,
40,Tianjin Garden Chinese Lion Guardians,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8112537328974,144.969347694358,,,,
41,Elliot Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7820500448944,144.956966688817,,,,
42,Larry La Trobe,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8155485415339,144.966892073339,,,,
43,Lake Waterfall,Memorials & Sculptures,Arts & Heritage  - Sculpture - Waterfall,,-37.8220860665895,144.971811014259,,,,
44,Blowhole,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8218628591026,144.947009361906,,,,
45,Dairy Hall Window,Memorials & Sculptures,Arts & Heritage  - Sculpture - Window,,-37.8072067342084,144.95927167699,,,,
46,Duke & Duchess of York Memorial [also known as Temperence],Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.8066292170365,144.959908875141,,,,
47,Man with the Donkey,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8294820320636,144.973858485945,,,,
48,Walker Fountain,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8235489421227,144.970827554425,,,,
49,Apollo Belvedere,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8210593800945,144.969757416659,,,,
50,The Genie,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8214877018124,144.971194723297,,,,
51,Bandstand,Memorials & Sculptures,Arts & Heritage  - Sculpture - Bandstand,,-37.8118220680303,144.98265705467,,,,
52,Sir William Brunton Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7893037541819,144.972178908201,,,,
53,The Public Purse,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture / Seat,,-37.8140976922587,144.963400791877,,,,
54,Another View Site 17,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8148050876298,144.968381035174,,,,
55,Children's Lake Waterfall,Memorials & Sculptures,Arts & Heritage  - Memorials - Waterfall,,-37.8224051515098,144.970643483514,,,,
56,Dr Louis Smith,Memorials & Sculptures,Arts & Heritage  - Sculpture - Bust,,-37.8047443091441,144.972452071138,,,,
57,The Pathfinder,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8220280877634,144.970355253427,,,,
58,Argyle Square Piazza,Memorials & Sculptures,Arts & Heritage  - Unknown,,-37.8024440893138,144.965875284609,,,,
59,Statue of Meditation,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8139538628485,144.978577436109,,,,
60,Brunton Drinking Fountain East,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7893037541819,144.972178908201,,,,
61,Queen Victoria Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial statue,,-37.8218411871775,144.972479021742,,,,
62,Weathervanes,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8135370446354,144.965640931082,,,,
63,Great Petition,Memorials & Sculptures,Art & Heritage Collection -,,-37.811529640687,144.975170291578,,,,
64,Island Wave,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8093264245689,144.958057227641,,,,
65,Australian Hellenic Memorial,Memorials & Sculptures,Arts & Heritage  - Memorials - Memorial,,-37.8272124256682,144.972973931049,,,,
66,Burke and Wills Monument,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8156336994425,144.96670400597,,,,
67,Victoria Police Memorial,Memorials & Sculptures,Arts & Heritage  - Memorials - Memorial,,-37.8242417290806,144.970982287968,,,,
68,Eight Hour Day Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Monument,,-37.8071549943472,144.965588362141,,,,
69,Painted Poles,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8100968903886,144.964165113326,,,,
70,Water Children,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8221241231269,144.970661974148,,,,
71,Maxims of Behaviour,Memorials & Sculptures,"Art & Heritage Collection - Artwork Commission - 'Maxims of Behaviour"" - Bourke Street",,-37.8136024871974,144.965808843709,,,,
72,Thomas Ferguson Memorial Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.8015394788479,144.960227248561,,,,
73,James C Roberts Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.7891381551832,144.957053770245,,,,
74,Marquis of Linlithgow,Memorials & Sculptures,Arts & Heritage  - Sculpture - Statue,,-37.8266640563688,144.971916648894,,,,
75,Macpherson-Robertson Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Fountain,,-37.8323774586129,144.972934260924,,,,
76,Councillor William Cook Memorial Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7852874728369,144.966190018508,,,,
77,Victorian Rowing Association World War 1 Memorial,Memorials & Sculptures,Arts & Heritage  - Memorials - Cenotaph,,-37.8217592722394,144.974772591697,,,,
