type,name,address,artist,year,description,latitude,longitude
Monument,Black Swan Memorial Drinking Fountain,"Alexandra Gardens, St Kilda Road, MELBOURNE",Raymond B. Ewers,1974,Bluestone drinking fountain with bronze plaque,-37.8195705617737,144.971824407255
Monument,Captain Cook,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Marc Clark,1973,Bronze statue,-37.8145792919449,144.979494361804
Art,Statue of Meditation,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Robert Delandere,1933,Marble statue,-37.813953837555,144.978577485077
Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187404835153,144.974102781582
Monument,Councillor William Cook Memorial Drinking Fountain,266 Macpherson Street,Charles Douglas Richardson,1910,"Granite, marble and bluestone drinking fountain",-37.7852874613137,144.966190055728
Monument,King George V,"Kings Domain, Alexandra Avenue, MELBOURNE",Sculptor William Leslie Bowles; founder John Galizia; stonemason G.B. Edwards & Sons,1952,"Bronze, sandstone and granite sculpture with bluestone base",-37.8242726516388,144.973213430025
Art,Threaded Field,"685 La Trobe Street, DOCKLANDS",Simon Perry,1999,Sculpture,-37.815324414746,144.9470729338
Monument,Pioneer Monument,"395 King Street, WEST MELBOURNE",Samuel Craven,1871,Sandstone obelisk,-37.810801327848,144.953954497374
Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185922758306,144.971796362269
Fountain,Bali Memorial,"Lincoln Square, Swanston Street, CARLTON",Unknown,2003,"Granite, concrete and stainless steel",-37.8024840905196,144.963242826387
Art,Hotham Hill Paving Inlay,76 Canning Street,Bernice McPherson,1995,Ceramic tiles and asphalt,-37.7949047942895,144.940383521588
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.820149525359,144.959318134551
Art,Miraggio,"Sidney Myer Music Bowl, Alexandra Avenue, MELBOURNE",Pino Conte,1964,Bronze statue,-37.8240134693642,144.974151500782
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201736797154,144.959200268537
Art,Ned and Dan,"21 Rakaia Way, DOCKLANDS",Alexander Knox,2006,Three-dimensional frieze,-37.8146994633064,144.940838425061
Art,Dairy Hall Window,"62 Therry Street, MELBOURNE",Artist Bernice McPherson; architect Craig Perry,1996,Glass and steel window,-37.8072067768463,144.959271667297
Monument,Pastor Sir Doug and Lady Gladys Nicholls,"Parliament Gardens, EAST MELBOURNE",Louis Laumen,2007,Bronze memorial statue,-37.8100230422747,144.973642124927
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.820097951228,144.959505265904
Art,Painted Poles,"308 Swanston Street, MELBOURNE",Jennifer McCarthy,1992,Metal poles,-37.810347145096,144.964280610813
Monument,John Pascoe Fawkner,"437 Collins Street, MELBOURNE",Michael Meszaros,1978,Bronze statue,-37.8176770967418,144.959995275694
Art,Photo art billboard,"56 Lorimer Street, DOCKLANDS",Various artists,various,Photographic images,-37.8249065059188,144.947426953214
Art,Railway Viewing Platform,"90 Railway Place, WEST MELBOURNE",Designer Bernice McPherson; architects Craig Perry and Peter Dann,1994,Metal platform,-37.8088169283775,144.943688304136
Monument,R.J. & F.G.J. Hardy Memorial Drinking Fountain,463 Lygon Street,unknown,1939,Stone drinking fountain,-37.7855912646095,144.96931423372
Monument,Adam Lindsay Gordan Memorial,"96 Spring Street, EAST MELBOURNE",Paul Montford,1931,Bronze statue on sandstone pedestal,-37.8123635338167,144.97374504876
Art,Angel,Birrarung Marr,Deborah Halpern,1988,"Ceramic, steel and concrete sculpture",-37.8189542313538,144.972959186532
Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219308131053,144.946798545611
Monument,Separation Memorial,"401 King Street, WEST MELBOURNE",unknown,1950,Mixed stone sculpture,-37.810695135969,144.953685908935
Art,Sundial,"392 William Street, MELBOURNE",unknown,unknown,Bronze sundial on sandstone plinth,-37.8103161768399,144.954937553695
Art,Threaded Field,"689 La Trobe Street, DOCKLANDS",Simon Perry,1999,Sculpture,-37.8154836225539,144.946712125445
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.820111630197,144.959404150284
Art,Horse Hitching Post,"2 Spring Street, EAST MELBOURNE",unknown,c. 1900,Stone post,-37.8150299769363,144.974931527616
Art,Lynch's Bridge Mosaic Mural,"Epsom Road Underpass, KENSINGTON",Elizabeth MacKinnon,1998,Ceramic tile mural,-37.7902053576258,144.92393918587
Art,Reed Vessel,"67 Harbour Esplanade, DOCKLANDS",Virginia King,2002,Sculpture,-37.8202323424168,144.946325127609
Monument,Burke and Wills Monument,"84 Swanston Street, MELBOURNE",Charles Summers,1865,Bronze statue with granite pedestal,-37.8156337321238,144.966703993713
Art,Peter Pan,"Melbourne Zoological Gardens, Elliott Avenue, PARKVILLE",Paul Montford,1925,Bronze statue,-37.784773009033,144.95236482558
Fountain,Grollo Fountain,"169 Rathdowne Street, CARLTON",unknown,2001,Bluestone and granite fountain,-37.8031427973572,144.969874326021
Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185954753426,144.971808963839
Art,Constellation,"399 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8201898206677,144.960789659507
Art,Personal Islands,"201 Swanston Street, MELBOURNE",Robert Jacks,1992,Brass and bluestone,-37.8129540664935,144.965264917067
Art,Ned and Dan,"20 Doepel Way, DOCKLANDS",Alexander Knox,2006,Three-dimensional frieze,-37.8149351757693,144.940308036389
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201019944052,144.959452353426
Art,Hotham Hill Seat,76 Canning Street,"Bernice McPherson, Di Christensen and Craig Perry",,Steel seat,-37.7949351874639,144.940340735749
Art,Island Wave,"404 Queen Street, MELBOURNE",Lisa Young,2003,Steel sculpture on concrete footing,-37.809326383142,144.958057203226
Art,Walk of Stars,"435 Docklands Drive, DOCKLANDS",Peter Cortlett and Jamie Cooper,2006,Bronze statue and plaques,-37.8152982442351,144.938823236515
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201547396011,144.959252201884
