description,type,model,location,condition,latitude,longitude
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Gardiner Reserve,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Gardiner Reserve approximately 49m SE of Unit G1, Ground, 108 Haines Street, North Melbourne, 3051",4.0,-37.79889823757444,144.94401837483926
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Victoria Green approximately 5m NW of 91 Geographe Street, Docklands, 3008",3.44,-37.81977831499552,144.9451936983497
Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Kings Domain South approximately 65m East of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004",3.0,-37.82685367661527,144.97256621601178
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Royal Park,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Park Street between West Coburg Tramway and Royal Parade,4.0,-37.77732383776788,144.9531895231545
Seat - Unclassified - Wharfs Landing Park,Seat,Seat - Unclassified,"Wharfs Landing approximately 14m SE of 193 River Esplanade, Docklands, 3008",5.0,-37.82181625070909,144.93664638167752
Drinking Fountain - Leaf Type - Dog Bowl  - Flagstaff Gardens,Drinking Fountain,Drinking Fountain - Leaf Type - Dog Bowl,"Flagstaff Gardens approximately 95m East of St James Old Cathedral, Church, 2-10 Batman Street, West Melbourne, 3003",5.0,-37.81010993947886,144.95363625566395
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Fitzroy Gardens approximately 59m NW of Holy Trinity Anglican Church, 72-80 Clarendon Street, East Melbourne, 3002",4.0,-37.81367564418339,144.98268520584864
Seat - Straight Seat - Wooden Battens - Type 2 - Newmarket Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Epsom Road between Smithfield Road and Racecourse Road,3.0,-37.78836170707966,144.92232347243345
Drinking Fountain - Leaf Type - Dog Bowl  - JJ Holland Park,Drinking Fountain,Drinking Fountain - Leaf Type - Dog Bowl,"J J Holland Park approximately 78m NE of The Bill Vanina Pavilion, The Bill Vanina Pavilion, 1A Childers Street, Kensington, 3031",3.0,-37.79841970759794,144.92421993826414
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Queen Victoria Gardens,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,Queen Victoria Gardens,5.0,-37.82168006484173,144.9700370336942
Seat - Unclassified - Boyd Community Hub,Seat,Seat - Unclassified,"Boyd Community Hub approximately 50m SW of 17 Balston Street, Southbank, 3006",5.0,-37.82576508075414,144.96127430125114
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Collins Street between Navigation Drive and Merchant Street approximately 33m SW of Chia Chia, 2-4 Import Lane, Docklands, 3008",3.24,-37.821568729055365,144.94472699534222
Seat - Metal Seat - Warun Biik Park,Seat,Seat - Metal Seat,"Warun Biik Park approximately 49m South of 76 Henry Street, Kensington, 3031",3.0,-37.79640900892127,144.92588205827337
Seat - Metal Seat - Warun Biik Park,Seat,Seat - Metal Seat,"Warun Biik Park approximately 53m South of 76 Henry Street, Kensington, 3031",3.0,-37.79643893246534,144.92591301997493
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Swanston Street between Flinders Street and Flinders Lane approximately 26m NE of Town Hall Rail Station, 9-29 Swanston Street, Melbourne, 3000",3.44,-37.81686550608367,144.9672722792471
Seat - Straight Seat - Wooden Battens - Type 2 - Warun Biik Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Warun Biik Park approximately 69m NE of Altona Street Reserve, 74 Altona Street, Kensington, 3031",4.0,-37.79687893468122,144.92648899203792
Seat - Stainless Steel Seat - Swivel,Seat,,"Victoria Green approximately 16m SW of 6 Buckley Walk, Docklands, 3008",4.0,-37.82018726356619,144.94509022419146
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Batmans Hill Drive between Wurundjeri Way and Collins Street approximately 25m West of Ground, 14 Batmans Hill Drive, Docklands, 3008",3.3,-37.82163480380041,144.94937959092402
