tree_id,scientific_name,diameter_breast_height_cm,tree_latitude,tree_longitude,canopy_id,canopy_area,canopy_diameter
1286314,Schinus molle,25.0,-37.7889266,144.9259464,20687,742.23,30.741
1286316,Schinus molle,35.0,-37.78901337,144.9257915,52778,353.32,21.21
1286318,Schinus molle,30.0,-37.7891071,144.9256552,52778,353.32,21.21
1286321,Schinus molle,75.0,-37.7894315,144.9268533,11656,1043.297,36.447
1286323,Eucalyptus sp.,38.0,-37.78941093,144.9267202,10347,699.348,29.84
1286329,Schinus molle,59.0,-37.78953608,144.9269569,11656,1043.297,36.447
1286332,Schinus molle,45.0,-37.78929493,144.9267213,10347,699.348,29.84
1286335,Schinus molle,65.0,-37.78916005,144.9265914,10347,699.348,29.84
1286336,Schinus molle,30.0,-37.78918754,144.9255172,52778,353.32,21.21
1286383,Ulmus x hollandica,70.0,-37.78962303,144.929142,55117,953.109,34.836
1286471,Platanus x acerifolia,23.0,-37.79176617,144.930406,51889,173.32,14.855
1286476,Platanus x acerifolia,45.0,-37.79222467,144.9305153,13926,399.832,22.563
1286477,Platanus x acerifolia,45.0,-37.79148811,144.9303295,35764,310.949,19.898
1286479,Platanus x acerifolia,20.0,-37.79252824,144.9305998,43106,36.906,6.855
1286485,Platanus x acerifolia,47.0,-37.79092999,144.930194,43079,790.617,31.728
1286486,Platanus x acerifolia,45.0,-37.7899479,144.9299453,5862,1030.535,36.223
1286488,Platanus x acerifolia,45.0,-37.7901499,144.930024,5862,1030.535,36.223
1286498,Platanus x acerifolia,40.0,-37.79273183,144.9306377,55363,584.988,27.292
1286524,Platanus x acerifolia,30.0,-37.7916449,144.9301973,55313,20.562,5.117
1286525,Platanus x acerifolia,30.0,-37.79055719,144.9299748,37241,208.113,16.278
1286535,Ulmus x hollandica,55.0,-37.79207506,144.9297436,48479,94.82,10.988
1286537,Ulmus procera,60.0,-37.79226963,144.9297934,4281,1890.891,49.067
1286542,Ulmus procera,30.0,-37.79174389,144.9296627,53700,136.621,13.189
1286548,Eucalyptus leucoxylon,30.0,-37.78986688,144.9299273,5862,1030.535,36.223
1286549,Ulmus x hollandica,60.0,-37.79257289,144.9298605,4281,1890.891,49.067
1286555,Ulmus procera,70.0,-37.79066452,144.9293907,51739,229.715,17.102
1286568,Platanus x acerifolia,40.0,-37.78917236,144.9297723,15769,1537.797,44.249
1286576,Platanus x acerifolia,27.0,-37.78910994,144.9296317,27647,162.195,14.371
1286579,Platanus x acerifolia,70.0,-37.78935737,144.9296713,15769,1537.797,44.249
1286583,Platanus x acerifolia,60.0,-37.79405044,144.9302407,50601,69.609,9.414
1286585,Platanus x acerifolia,50.0,-37.79400964,144.9303928,53882,1118.57,37.739
1286586,Platanus x acerifolia,50.0,-37.79411141,144.9304103,53882,1118.57,37.739
1286587,Platanus x acerifolia,45.0,-37.79420867,144.9304337,53882,1118.57,37.739
1286588,Platanus x acerifolia,40.0,-37.79432447,144.9304625,53882,1118.57,37.739
1286592,Platanus x acerifolia,60.0,-37.78897159,144.9297401,15769,1537.797,44.249
1286597,Platanus x acerifolia,30.0,-37.78883295,144.9297053,15769,1537.797,44.249
1939363,Eucalyptus viminalis subsp. pryoriana,,-37.77739814,144.9503508,40825,109.16,11.789
1939376,Eucalyptus viminalis subsp. pryoriana,,-37.77950843,144.9494698,33884,1404.395,42.286
1939381,Eucalyptus viminalis subsp. pryoriana,,-37.77846976,144.9506432,33842,14.215,4.254
1939383,Eucalyptus viminalis subsp. pryoriana,,-37.7782868,144.9492308,38345,441.891,23.72
1939388,Eucalyptus viminalis subsp. pryoriana,,-37.77743875,144.9503177,40825,109.16,11.789
1939391,Eucalyptus viminalis subsp. pryoriana,,-37.77945122,144.9502734,33898,1832.48,48.303
1939396,Eucalyptus viminalis subsp. pryoriana,,-37.77832207,144.9492641,38345,441.891,23.72
1939401,Eucalyptus viminalis subsp. pryoriana,,-37.77919986,144.9493611,33884,1404.395,42.286
1939402,Eucalyptus viminalis subsp. pryoriana,,-37.77917951,144.9491587,33884,1404.395,42.286
1939404,Eucalyptus viminalis subsp. pryoriana,,-37.77917177,144.951075,53165,583.711,27.262
1909503,Callitris gracilis,,-37.82306416,144.9876577,56324,44.598,7.536
1786265,Geijera parviflora,,-37.79971628,144.9396708,54870,16.449,4.576
1766263,Platanus x acerifolia,,-37.80117569,144.9499442,45385,2.367,1.736
1635416,Acer rubrum,30.0,-37.79034687,144.9425714,13829,5.574,2.664
1635427,Allocasuarina littoralis,,-37.78020996,144.9405406,56640,139.758,13.34
1635434,Quercus robur,20.0,-37.82677356,144.9592853,24180,1.551,1.405
1564516,Eucalyptus camaldulensis,,-37.81943328,144.9748623,6877,203.68,16.104
1564530,Angophora costata,,-37.81884295,144.9737937,41992,605.754,27.772
1564532,Angophora costata,,-37.8188388,144.9737516,41992,605.754,27.772
1564545,Callistemon viminalis,,-37.81870161,144.9698405,32981,851.309,32.923
1564555,Callistemon viminalis,,-37.81869064,144.9701402,32981,851.309,32.923
1564559,Angophora costata,,-37.81843741,144.9710047,16129,2345.648,54.65
1564565,Angophora costata,,-37.81829016,144.9709458,16129,2345.648,54.65
1564566,Angophora costata,,-37.81824623,144.9709542,16129,2345.648,54.65
1564567,Angophora costata,,-37.81818807,144.9709451,16129,2345.648,54.65
1564570,Corymbia maculata,,-37.81811573,144.9709199,16129,2345.648,54.65
1564575,Angophora costata,,-37.81800701,144.9712299,31186,735.77,30.607
1564587,Angophora costata,,-37.81814512,144.9712814,31186,735.77,30.607
1564589,Angophora costata,,-37.81814459,144.9713865,31186,735.77,30.607
1564605,Eucalyptus camaldulensis,,-37.81959658,144.9753201,49763,178.789,15.088
1454919,Angophora costata,37.0,-37.80818921,144.9434354,52879,42.605,7.365
1454928,Eucalyptus leucoxylon,50.0,-37.79368207,144.9234269,22122,1446.082,42.909
1454935,Platanus x acerifolia,50.0,-37.79000047,144.93184,13851,3020.402,62.014
1454936,Platanus x acerifolia,50.0,-37.78969945,144.9317605,12825,7.145,3.016
1359035,Quercus palustris,,-37.80924006,144.9737567,15499,71.375,9.533
1359990,Angophora costata,20.0,-37.79739595,144.9659962,38572,376.816,21.904
1359993,Angophora costata,20.0,-37.79766087,144.9659559,44741,17.848,4.767
1359995,Angophora costata,28.0,-37.80041352,144.965472,42846,19.977,5.043
1359997,Angophora costata,20.0,-37.80023927,144.9655048,48055,13.363,4.125
1359999,Angophora costata,15.0,-37.79992709,144.9655642,28852,13.406,4.131
1360000,Angophora costata,20.0,-37.79975946,144.9655901,26563,14.805,4.342
1360001,Angophora costata,18.0,-37.79961775,144.9656211,43742,20.383,5.094
1286215,Robinia pseudoacacia 'Frisia',28.0,-37.79186377,144.9278442,39919,272.07,18.612
1286216,Robinia pseudoacacia 'Frisia',28.0,-37.79105035,144.9278648,13832,134.074,13.066
1286217,Robinia pseudoacacia 'Frisia',30.0,-37.79099568,144.9278663,13832,134.074,13.066
1286218,Robinia pseudoacacia,30.0,-37.79093108,144.9278681,13832,134.074,13.066
1286219,Gleditsia triacanthos 'Sunburst',10.0,-37.79085815,144.9278681,53600,9.16,3.415
1286241,Schinus molle,60.0,-37.78915156,144.928087,52781,475.309,24.6
1286242,Schinus molle,50.0,-37.7891129,144.9281508,52781,475.309,24.6
1286251,Schinus molle,20.0,-37.78899017,144.9286638,27650,672.445,29.261
1286252,Schinus molle,23.0,-37.78904889,144.9285769,27650,672.445,29.261
1286264,Populus x canadensis,37.0,-37.78998167,144.9277902,42941,68.887,9.365
1286270,Populus x canadensis,30.0,-37.79077212,144.9277828,43036,17.457,4.715
1289818,Corymbia maculata,70.0,-37.79353477,144.9400074,29034,354.293,21.239
1289821,Schinus molle,23.0,-37.78862922,144.924877,23098,10.949,3.734
1289824,Schinus molle,27.0,-37.78843544,144.9251849,36583,73.164,9.652
1289826,Schinus molle,24.0,-37.78835432,144.9253161,28630,30.332,6.214
1289829,Schinus molle,45.0,-37.78826605,144.9256599,51138,339.422,20.789
1289836,Schinus molle,34.0,-37.7885401,144.9250198,27589,41.438,7.264
1289843,Platanus x acerifolia,32.0,-37.79382647,144.9395294,22067,146.66,13.665
1289850,Schinus molle,67.0,-37.7885887,144.9260999,20687,742.23,30.741
1289851,Zelkova serrata,20.0,-37.79369599,144.9397311,9489,95.254,11.013
1289852,Zelkova serrata,12.0,-37.79372913,144.9400185,50571,212.973,16.467
1289853,Zelkova serrata,18.0,-37.79376544,144.9403038,55473,563.133,26.777
1289855,Ulmus x hollandica,45.0,-37.79368969,144.940143,50571,212.973,16.467
1289857,Eucalyptus camaldulensis,47.0,-37.79369445,144.9403901,55473,563.133,26.777
1289858,Corymbia citriodora,57.0,-37.79359799,144.9403962,55473,563.133,26.777
1289859,Lophostemon confertus,45.0,-37.79348733,144.9404181,55473,563.133,26.777
1289861,Robinia pseudoacacia 'Frisia',34.0,-37.79370695,144.9394241,12211,1039.945,36.388
1289862,Schinus molle,30.0,-37.78889334,144.9284721,35414,190.512,15.575
1289865,Schinus molle,19.0,-37.78851536,144.9285246,22921,10.715,3.694
1289866,Schinus molle,20.0,-37.78855626,144.9284942,5354,10.004,3.569
1289870,Schinus molle,30.0,-37.78872167,144.928381,43465,221.012,16.775
1289871,Schinus molle,20.0,-37.78874247,144.9284326,43465,221.012,16.775
1289876,Schinus molle,10.0,-37.78890551,144.9283738,35414,190.512,15.575
1289877,Schinus molle,20.0,-37.78897386,144.9285849,27650,672.445,29.261
1289882,Schinus molle,25.0,-37.78857535,144.9288257,22918,10.957,3.735
1289895,Schinus molle,30.0,-37.78823466,144.9267009,36573,1686.062,46.333
1289896,Schinus molle,34.0,-37.78819298,144.9267814,36573,1686.062,46.333
1289898,Schinus molle,29.0,-37.7883706,144.9287751,18431,11.426,3.814
1289902,Platanus x acerifolia,40.0,-37.78809528,144.9278221,38005,80.672,10.135
1289904,Platanus x acerifolia,40.0,-37.78816869,144.9285193,5342,355.395,21.272
1289905,Schinus molle,28.0,-37.78821802,144.9284869,5342,355.395,21.272
1289906,Schinus molle,23.0,-37.78828591,144.9284829,5342,355.395,21.272
1289907,Schinus molle,23.0,-37.78836653,144.9284494,5342,355.395,21.272
1289908,Schinus molle,34.0,-37.78841409,144.9285149,5342,355.395,21.272
1289911,Schinus molle,45.0,-37.78855601,144.9264078,38029,419.855,23.121
1289962,Zelkova serrata,32.0,-37.79398597,144.9404042,52132,537.453,26.159
1289965,Zelkova serrata,34.0,-37.7943042,144.9397417,48639,152.938,13.954
1289967,Zelkova serrata,27.0,-37.79434627,144.9400621,22123,53.156,8.227
1289968,Zelkova serrata,27.0,-37.79436395,144.9402204,50614,49.926,7.973
1289970,Zelkova serrata,38.0,-37.79460177,144.940456,22180,274.707,18.702
